code,select_td,buy_td,sell_td,t0,net_ret,mom_5,mom_20,ma20_slope_5,ma20_dev,ma20_over_ma60,vol_20,mdd_10,amt_ma20,y_rel,pred_score
180103.SZ,2024-08-22,2024-08-23,2024-08-30,2024-08-22,-0.003412857579412676,-0.04202334630350202,-0.004850444624090566,-0.0020500000000001073,-0.01836087797292707,0.013606083670678837,0.012329271777224714,-0.06237966884867152,5508890.2,4,0.6869979068845409
180501.SZ,2024-08-22,2024-08-23,2024-08-30,2024-08-22,-0.022830921298140572,-0.011513157894736836,0.002334889926617567,0.009199999999999875,-0.009786799354137177,0.054728500758830734,0.01699290219834343,-0.05771725032425423,13351504.75,0,0.6869979068845409
508058.SH,2024-08-22,2024-08-23,2024-08-30,2024-08-22,-0.0009013881568628035,-0.015444015444015413,0.02314814814814814,0.03174999999999928,-0.009693946138105036,0.0708184939540637,0.008938137766581247,-0.032191376255168325,13112882.65,5,0.6869979068845409
180101.SZ,2024-08-29,2024-08-30,2024-09-06,2024-08-29,0.0024393198732894916,-0.044508950169327655,0.018041237113401998,0.012900000000000134,-0.02840978969376473,0.05048060359677531,0.01610828126024174,-0.04934687953555883,13165136.95,5,0.6869979068845409
180102.SZ,2024-08-29,2024-08-30,2024-09-06,2024-08-29,0.0044860955470740205,-0.01352705410821653,-0.002532928064843065,0.014250000000000096,-0.02212510243102983,0.028756088422630333,0.010936120344821542,-0.02524752475247527,8079466.55,6,0.6869979068845409
180501.SZ,2024-08-29,2024-08-30,2024-09-06,2024-08-29,-0.01158964774408533,-0.0013311148086522229,0.00941809619912548,0.003450000000000397,-0.012227836018629867,0.04460018566696866,0.016421449354899753,-0.04470742932281402,13515354.6,2,0.6869979068845409
508000.SH,2024-09-05,2024-09-06,2024-09-13,2024-09-05,-0.011416764472361729,-0.008859784283513195,-0.02204484986697064,-0.006399999999999739,-0.008439631585032137,0.03433981066268066,0.0059881945415435804,-0.019208605455243832,12716361.35,0,0.6869979068845409
516980.SH,2024-09-05,2024-09-06,2024-09-13,2024-09-05,-0.0005999099999999258,0.01285347043701801,-0.01622971285892638,-0.0019000000000000128,-0.00548999810689732,0.007352629571555802,0.01759476205333623,-0.05514705882352944,618215.95,1,0.6869979068845409
180102.SZ,2024-09-05,2024-09-06,2024-09-13,2024-09-05,0.008094973075742029,-0.007110208227526615,-0.03883972468043262,-0.017800000000000038,-0.020418389076788168,0.019210472558899516,0.008508651706079144,-0.031872509960159445,6513871.55,2,0.6715952818203021
508088.SH,2024-09-12,2024-09-13,2024-09-20,2024-09-12,0.0037131606720099963,-0.012428008487420539,-0.013026355649803034,-0.005250000000000199,-0.009365117976161463,0.01635308236287858,0.0034704303716738493,-0.016601267733172387,12718071.95,0,0.6869979068845409
512200.SH,2024-09-12,2024-09-13,2024-09-20,2024-09-12,0.07349506578111198,-0.027491408934707917,-0.05509181969949917,0.023900000000000032,-0.011871508379888263,0.5968034195976395,0.017753522959783774,-0.03839590443686003,123725858.0,1,0.6715952818203021
160140.SZ,2024-09-26,2024-09-27,2024-09-30,2024-09-26,-0.0013639773470948136,-0.029282576866764165,-0.0045045045045043475,0.0061500000000001,-0.010373908500634355,0.04095505690720058,0.009625294815803848,-0.03282275711159732,13232438.7,0,0.6869979068845409
161226.SZ,2024-10-10,2024-10-11,2024-10-18,2024-10-10,0.030083426096491284,-0.04055496264674496,0.03096330275229353,0.006050000000000111,0.007847533632286963,-0.015017667844522853,0.01710232191593964,-0.04268943436499473,53141901.25,1,0.6867663707649537
159687.SZ,2024-10-10,2024-10-11,2024-10-18,2024-10-10,0.0009640964006261132,-0.0031372549019608176,0.015175718849840258,0.005149999999999988,0.024834704079987002,-0.01045240564908645,0.011806786981205141,-0.01631701631701643,25288588.55,0,0.6813212527225705
159960.SZ,2024-10-17,2024-10-18,2024-10-25,2024-10-17,0.02915219010825454,-0.030183727034120755,0.1861958266452648,0.03049999999999997,0.05571428571428583,0.0658816363820931,0.022978953575726612,-0.03901170351105332,13751582.5,39,0.6790782659148249
160125.SZ,2024-10-17,2024-10-18,2024-10-25,2024-10-17,0.02543097606511613,-0.03647686832740227,0.19800884955752207,0.048250000000000015,0.06636471051595105,0.08140339668849483,0.022348429825783705,-0.03647686832740227,246885.7,32,0.6790782659148249
159601.SZ,2024-10-17,2024-10-18,2024-10-25,2024-10-17,0.032427999951040176,-0.05658198614318699,0.17385057471264376,0.03369999999999995,0.043222881951094916,0.05304558289632921,0.034756297232576214,-0.1186623516720604,169925413.0,49,0.6669661349900406
515180.SH,2024-10-24,2024-10-25,2024-11-01,2024-10-24,-0.00882234903515322,-0.04294917680744459,0.08346839546191243,0.02970000000000006,-0.022303473491773418,0.04142868022237467,0.031090446543926138,-0.06568832983927331,194238000.05,11,0.681415467572179
159945.SZ,2024-10-24,2024-10-25,2024-11-01,2024-10-24,-0.010036305699570591,0.015693112467306092,0.11804222648752405,0.0354000000000001,0.004743423889607579,0.04453185994835129,0.03167726543666705,-0.038558256496228016,5706694.45,8,0.6813212527225705
160125.SZ,2024-10-24,2024-10-25,2024-11-01,2024-10-24,0.023022273945454863,0.008310249307479367,0.18054054054054047,0.049250000000000016,0.025496548809691433,0.11607797924745844,0.02253227272663926,-0.03217158176943702,277362.1,26,0.6813212527225705
159719.SZ,2024-10-31,2024-11-01,2024-11-08,2024-10-31,0.032124388952193605,-0.03240152477763658,0.00461741424802109,0.022150000000000114,-0.039116719242902054,0.05611513987140038,0.0367606946221022,-0.04514106583072086,47425496.65,45,0.6869979068845409
159887.SZ,2024-10-31,2024-11-01,2024-11-08,2024-10-31,0.03088434126012607,-0.03206239168110914,0.008122743682310585,0.02210000000000001,-0.0280617794213619,0.07381452931558052,0.023542254155158825,-0.04692832764505128,64037454.45,41,0.6869979068845409
159945.SZ,2024-10-31,2024-11-01,2024-11-08,2024-10-31,0.039058823730158565,-0.026609442060085753,-0.012195121951219301,0.013600000000000056,-0.03333049185917647,0.05313084461734108,0.030047974803033815,-0.03407155025553643,5471566.85,61,0.6869979068845409
161129.SZ,2024-11-07,2024-11-08,2024-11-15,2024-11-07,-0.020907023584905815,0.003646973012399579,0.008797653958944052,0.005800000000000027,-0.0034762456546930665,0.013766014463492349,0.008441398528420446,-0.015793251974156486,2836469.85,0,0.6694579229063864
161810.SZ,2024-11-14,2024-11-15,2024-11-22,2024-11-14,-0.018146629137404502,-0.055636363636363595,0.044229995979091274,0.03954999999999975,-0.026502230385725523,0.0869715799123969,0.016294877467025445,-0.07612949128424051,995772.85,0,0.681415467572179
159812.SZ,2024-11-14,2024-11-15,2024-11-22,2024-11-14,0.05261946210369106,-0.029763941156346285,-0.036684782608695676,-0.00010000000000065512,-0.04693092265555432,0.04218314483765062,0.009938769386072062,-0.06030483764082173,3884362.6,10,0.6715952818203021
159830.SZ,2024-11-14,2024-11-15,2024-11-22,2024-11-14,0.05195273294615532,-0.03051560855840052,-0.0372692441657958,8.881784197001252e-16,-0.04756161645747359,0.04260001077799136,0.010061793517663785,-0.060343362230154574,9040576.7,8,0.6715952818203021
159630.SZ,2024-11-21,2024-11-22,2024-11-29,2024-11-21,-0.011443310614828173,-0.017590149516270914,0.004496402877697703,-0.00045000000000006146,-0.00935656955345665,0.07804955780415912,0.011676910372038862,-0.04306632213608963,5206411.75,65,0.6869979068845409
159631.SZ,2024-11-21,2024-11-22,2024-11-29,2024-11-21,-0.018535305433698857,-0.014734774066797796,0.006018054162487463,-0.00019999999999997797,-0.007422068283028271,0.08061382715169207,0.010899154101225899,-0.043227665706051965,8604667.3,36,0.6869979068845409
159701.SZ,2024-11-21,2024-11-22,2024-11-29,2024-11-21,-0.021810648489388296,-0.04540023894862599,-0.006218905472636815,-0.0023000000000000798,-0.021492866327842752,0.12754597132402012,0.01811756360151126,-0.07754629629629628,2689606.65,28,0.6869979068845409
159663.SZ,2024-11-28,2024-11-29,2024-12-06,2024-11-28,0.09634911833849347,-0.0558276199804113,-0.004132231404958775,0.003149999999999986,-0.03950580381607127,0.12622031045446036,0.027654808174935593,-0.06627680311890838,8230655.65,59,0.6869979068845409
159667.SZ,2024-11-28,2024-11-29,2024-12-06,2024-11-28,0.10618246476141069,-0.053974484789009014,-0.0020703933747413528,0.003849999999999909,-0.03744383424862696,0.12828119719103204,0.027796480014721396,-0.0634765625,57883528.8,60,0.6869979068845409
